project_id,task_id,task_name,start_date,end_date,actual_completion_date,resources_allocated,duration
1,101,Design,2023-01-01,2023-01-10,2023-01-12,4,11
1,102,Development,2023-01-11,2023-02-20,2023-02-25,8,45
1,103,Testing,2023-02-21,2023-03-01,2023-03-05,5,12
1,104,Deployment,2023-03-02,2023-03-10,2023-03-10,3,8
2,201,Requirements,2023-01-05,2023-01-15,2023-01-16,2,11
2,202,Design,2023-01-16,2023-01-25,2023-01-27,4,11
2,203,Development,2023-01-28,2023-02-28,2023-03-03,10,34
2,204,Testing,2023-03-01,2023-03-10,2023-03-12,6,11
2,205,Review,2023-03-11,2023-03-15,2023-03-15,2,4
3,301,Conceptualization,2023-02-01,2023-02-10,2023-02-12,3,11
3,302,Planning,2023-02-11,2023-02-20,2023-02-21,3,10
3,303,Execution,2023-02-22,2023-03-30,2023-04-02,12,39
3,304,Monitoring,2023-03-31,2023-04-10,2023-04-12,4,12
3,305,Closure,2023-04-11,2023-04-15,2023-04-16,2,5
4,401,Initiation,2023-03-01,2023-03-10,2023-03-11,2,10
4,402,Planning,2023-03-11,2023-03-20,2023-03-22,4,11
4,403,Execution,2023-03-23,2023-04-25,2023-04-30,10,38
4,404,Evaluation,2023-04-26,2023-05-05,2023-05-06,3,10
5,501,Research,2023-04-01,2023-04-10,2023-04-11,4,10
5,502,Prototyping,2023-04-11,2023-04-25,2023-04-28,6,17
5,503,Testing,2023-04-26,2023-05-05,2023-05-07,5,11
5,504,Implementation,2023-05-06,2023-05-20,2023-05-23,7,17
6,601,Concept,2023-05-01,2023-05-10,2023-05-12,3,11
6,602,Planning,2023-05-13,2023-05-22,2023-05-24,4,11
6,603,Development,2023-05-25,2023-06-30,2023-07-02,10,38
6,604,Testing,2023-07-01,2023-07-10,2023-07-12,5,11
6,605,Launch,2023-07-13,2023-07-20,2023-07-21,3,8
7,701,Discovery,2023-06-01,2023-06-10,2023-06-11,2,10
7,702,Design,2023-06-11,2023-06-20,2023-06-21,4,10
7,703,Build,2023-06-22,2023-07-30,2023-08-01,12,40
7,704,Test,2023-08-01,2023-08-10,2023-08-11,5,10
7,705,Deploy,2023-08-12,2023-08-20,2023-08-21,3,9
8,801,Planning,2023-07-01,2023-07-10,2023-07-12,3,11
8,802,Design,2023-07-11,2023-07-20,2023-07-21,4,10
8,803,Development,2023-07-22,2023-08-30,2023-09-02,11,42
8,804,Quality Assurance,2023-08-31,2023-09-10,2023-09-12,5,12
8,805,Release,2023-09-11,2023-09-20,2023-09-22,3,11
9,901,Research,2023-08-01,2023-08-10,2023-08-11,4,10
9,902,Prototype,2023-08-11,2023-08-25,2023-08-28,5,17
9,903,Development,2023-08-26,2023-09-30,2023-10-02,10,37
9,904,Testing,2023-10-01,2023-10-10,2023-10-12,6,11
9,905,Launch,2023-10-13,2023-10-20,2023-10-22,4,9
10,1001,Concept,2023-09-01,2023-09-10,2023-09-12,3,11
10,1002,Planning,2023-09-13,2023-09-22,2023-09-24,4,11
10,1003,Execution,2023-09-25,2023-10-30,2023-11-02,10,38
10,1004,Validation,2023-10-31,2023-11-10,2023-11-12,5,12
10,1005,Closure,2023-11-13,2023-11-20,2023-11-21,2,8
